xiaoqu,total_price,unit_price,region,build_area,house_area,room,orientations,guapai_time,url
莲花小区,690,61608,六里桥,112㎡,87.9㎡,2室1厅1厨1卫,东南,2018-06-26,https://bj.ke.com/ershoufang/101103018573.html
中雅大厦,729,47993,军博,151.9㎡,121.76㎡,2室1厅1厨1卫,西北,2018-05-16,https://bj.ke.com/ershoufang/101102877405.html
北影小区,775,88887,北太平庄,87.19㎡,暂无数据,2室1厅1厨1卫,西南,2017-07-29,https://bj.ke.com/ershoufang/101101876886.html
北影小区,780,94557,北太平庄,82.49㎡,暂无数据,2室1厅1厨1卫,东,2018-05-22,https://bj.ke.com/ershoufang/101102896512.html
润泽公馆,750,85931,北苑,87.28㎡,69.52㎡,2室1厅1厨1卫,南 北,2017-03-01,https://bj.ke.com/ershoufang/101101257166.html
润泽悦溪,660,76134,北苑,86.69㎡,68.09㎡,2室1厅1厨1卫,东 西,2017-04-04,https://bj.ke.com/ershoufang/101101431858.html
北京青年城,662,59002,北苑,112.2㎡,90.16㎡,2室1厅1厨1卫,东 南 北,2017-05-16,https://bj.ke.com/ershoufang/101101589233.html
华贸城,750,78948,北苑,95㎡,75.62㎡,2室1厅1厨1卫,南,2017-05-18,https://bj.ke.com/ershoufang/101101596116.html
中国铁建国际城,660,86084,北苑,76.67㎡,59.21㎡,2室1厅1厨1卫,南,2017-05-18,https://bj.ke.com/ershoufang/101101597576.html
润泽悦溪,680,74269,北苑,91.56㎡,71.15㎡,2室1厅1厨1卫,西南 北,2017-06-09,https://bj.ke.com/ershoufang/101101681496.html
润泽公馆,750,86108,北苑,87.1㎡,68.91㎡,2室1厅1厨1卫,南 北,2017-06-28,https://bj.ke.com/ershoufang/101101749828.html
拂林园,780,67551,北苑,115.47㎡,97.58㎡,2室1厅1厨2卫,南,2017-08-15,https://bj.ke.com/ershoufang/101101950217.html
拂林园,780,62271,北苑,125.26㎡,106.35㎡,2室1厅1厨1卫,东南,2017-09-16,https://bj.ke.com/ershoufang/101102089707.html
山水蓝维,780,80972,北苑,96.33㎡,86.4㎡,2室1厅1厨1卫,南 北,2017-11-10,https://bj.ke.com/ershoufang/101102289458.html
拂林园,769,61393,北苑,125.26㎡,106.35㎡,2室1厅1厨2卫,西,2017-11-11,https://bj.ke.com/ershoufang/101102295336.html
润泽悦溪,730,81465,北苑,89.61㎡,71.31㎡,2室1厅1厨1卫,南 北,2017-11-26,https://bj.ke.com/ershoufang/101102340809.html
润泽悦溪,720,80890,北苑,89.01㎡,70.61㎡,2室1厅1厨1卫,南 北,2017-12-01,https://bj.ke.com/ershoufang/101102358923.html
润泽悦溪,710,80986,北苑,87.67㎡,70.5㎡,2室1厅1厨1卫,南 北,2017-12-28,https://bj.ke.com/ershoufang/101102441006.html
中国铁建花语城,800,89306,北苑,89.58㎡,67.26㎡,2室2厅1厨1卫,南 北,2018-01-14,https://bj.ke.com/ershoufang/101102489840.html
润泽公馆,735,84270,北苑,87.22㎡,68.85㎡,2室1厅1厨1卫,南,2018-01-24,https://bj.ke.com/ershoufang/101102516805.html
世华泊郡,650,76247,北苑,85.25㎡,68.22㎡,2室1厅1厨1卫,南,2018-03-04,https://bj.ke.com/ershoufang/101102609149.html
润泽悦溪,680,75072,北苑,90.58㎡,70.39㎡,2室1厅1厨1卫,南 西 北,2018-03-05,https://bj.ke.com/ershoufang/101102614368.html
华贸城,675,76031,北苑,88.78㎡,70.67㎡,2室1厅1厨1卫,东 南 北,2018-03-06,https://bj.ke.com/ershoufang/101102615038.html
润泽公馆,740,84843,北苑,87.22㎡,68.85㎡,2室1厅1厨1卫,南,2018-03-09,https://bj.ke.com/ershoufang/101102630705.html
中国铁建花语城,780,86841,北苑,89.82㎡,67.44㎡,2室1厅1厨1卫,南 北,2018-03-10,https://bj.ke.com/ershoufang/101102637313.html
世华泊郡,710,78540,北苑,90.4㎡,71.85㎡,2室1厅1厨1卫,南,2018-03-12,https://bj.ke.com/ershoufang/101102643610.html
中国铁建国际城,660,86084,北苑,76.67㎡,59.21㎡,2室1厅1厨1卫,南,2018-03-14,https://bj.ke.com/ershoufang/101102651056.html
润泽公馆,740,83231,北苑,88.91㎡,70.81㎡,2室2厅1厨1卫,南,2018-03-27,https://bj.ke.com/ershoufang/101102705572.html
北京青年城,680,58135,北苑,116.97㎡,101.91㎡,2室1厅1厨2卫,南 北,2018-03-28,https://bj.ke.com/ershoufang/101102709837.html
北苑家园望春园,700,64428,北苑,108.65㎡,88.44㎡,2室1厅1厨2卫,南 北,2018-03-31,https://bj.ke.com/ershoufang/101102721021.html
拂林园,800,57168,北苑,139.94㎡,118.93㎡,2室1厅1厨1卫,东 南 北,2018-04-03,https://bj.ke.com/ershoufang/101102731677.html
润泽悦溪,660,76002,北苑,86.84㎡,68.21㎡,2室1厅1厨1卫,东 西,2018-04-04,https://bj.ke.com/ershoufang/101102734750.html
